13D Theme / Index,Index Weight in HC Ideas,Ticker,Name,Security Weight in Index,Security Weight in 13D Highest Conviction Portfolio
,,ABRA.V,ABRASILVER RESOURCE CORP,3.97%,0.27%
,,AYA.TO,Aya Gold & Silver Inc.,3.97%,0.27%
,,CXB.TO,Calibre Mining Corp.,3.97%,0.27%
,,DV.V,DOLLY VARDEN SILVER LTD,3.97%,0.27%
,,EGO,ELDORADO GOLD CORP,3.97%,0.27%
,,LUN.TO,LUNDIN MINING CORP,3.97%,0.27%
,,MTA,METALLA ROYALTY & STREAMING,3.97%,0.27%
,,NGD,NEW GOLD INC,3.97%,0.27%
,,PRYM.TO,PRIME MINING CORP,3.97%,0.27%
13D Gold Miners Index,6.90%,AEM,AGNICO EAGLE MINES LTD,28.33%,1.96%
,,AGI,ALAMOS GOLD INC-CLASS A,28.33%,1.96%
,,OLA.TO,ORLA MINING LTD,13.33%,0.92%
,,KGC,KINROSS GOLD CORP,10.00%,0.69%
,,NGD,NEW GOLD INC,10.00%,0.69%
,,WDO.TO,WESDOME GOLD MINES LTD,10.00%,0.69%
13D Market Extremes Dynamic Strategy,3.20%,JPYUSD,Japanese Yen,100.00%,3.20%
13D Non-U.S. Markets Index,5.20%,GREK,GLOBAL X MSCI GREECE ETF,20.00%,1.04%
,,EXS3.DE,iShares MDAX UCITS ETF (DE),20.00%,1.04%
,,EUFN,ISHARES MSCI EUROPE FINANCIA,15.00%,0.78%
,,EXH9.DE,iShares STOXX Europe 600 Utilities UCITS ETF (DE),15.00%,0.78%
,,BABA,Alibaba Group Holding Ltd Sponsored ADR,7.50%,0.39%
,,FXI,ISHARES CHINA LARGE-CAP ETF,7.50%,0.39%
,,EEM,iShares MSCI Emerging Markets ETF,7.50%,0.39%
,,JD,JD.COM INC-ADR,7.50%,0.39%
13D Oil & Gas Index,4.50%,BKR,BAKER HUGHES CO,10.00%,0.45%
,,XOP,SPDR S&P OIL & GAS EXP & PR,10.00%,0.45%
,,OIH,VANECK OIL SERVICES ETF,10.00%,0.45%
,,ARX.TO,ARC Resources Ltd.,5.00%,0.23%
,,ATH.TO,Athabasca Oil Corp.,5.00%,0.23%
,,BZ Comdty,Brent Oil Futures,5.00%,0.23%
,,CVE.TO,CENOVUS ENERGY INC,5.00%,0.23%
,,COP,CONOCOPHILLIPS,5.00%,0.23%
,,CL Comdty,Crude Oil WTI Futures,5.00%,0.23%
,,HAL,HALLIBURTON CO,5.00%,0.23%
,,PSCE,INVESCO S&P SMALLCAP ENERGY,5.00%,0.23%
,,MEG.TO,MEG ENERGY CORP,5.00%,0.23%
,,NE,Noble Corporation plc,5.00%,0.23%
,,OXY,Occidental Petroleum Corp.,5.00%,0.23%
,,SLB,SCHLUMBERGER LTD,5.00%,0.23%
,,TVE.TO,TAMARACK VALLEY ENERGY LTD,5.00%,0.23%
,,RIG,TRANSOCEAN LTD,5.00%,0.23%
13D Silver Strategy,7.00%,SI=F,Silver Futures,51.67%,3.62%
,,SILJ,Amplify Junior Silver Miners ETF,9.67%,0.68%
,,AYA.TO,Aya Gold & Silver Inc.,9.67%,0.68%
,,DV.V,DOLLY VARDEN SILVER LTD,9.67%,0.68%
,,SIL,Global X Silver Miners ETF,9.67%,0.68%
,,PAAS,Pan American Silver Corp.,9.67%,0.68%
13D Uranium Index,8.50%,CCO.TO,CAMECO CORP,20.00%,1.70%
,,KAP.IL,NAC KAZATOMPROM JSC-GDR REGS,15.00%,1.28%
,,U-UN.TO,SPROTT PHYSICAL URANIUM TRUS,15.00%,1.28%
,,NXE.TO,NEXGEN ENERGY LTD,10.00%,0.85%
,,PDN.AX,PALADIN ENERGY LTD,10.00%,0.85%
,,LOT.AX,LOTUS RESOURCES LTD,7.00%,0.60%
,,BOE.AX,BOSS ENERGY LTD,6.00%,0.51%
,,DML.TO,DENISON MINES CORP,6.00%,0.51%
,,GLO.TO,GLOBAL ATOMIC CORP,6.00%,0.51%
,,EFR.TO,ENERGY FUELS INC,5.00%,0.43%
13D Water Index,2.40%,BMI,"Badger Meter, Inc.",10.00%,0.24%
,,CNM,"Core & Main, Inc.",10.00%,0.24%
,,ECL,Ecolab Inc.,10.00%,0.24%
,,6370.T,Kurita Water Industries Ltd.,10.00%,0.24%
,,NWPX,Northwest Pipe Company,10.00%,0.24%
,,PNR,Pentair plc,10.00%,0.24%
,,TTEK,"Tetra Tech, Inc.",10.00%,0.24%
,,WABAG.NS,VA Tech Wabag Limited,10.00%,0.24%
,,WTS,"Watts Water Technologies, Inc.",10.00%,0.24%
,,XYL,Xylem Inc.,10.00%,0.24%
Bitcoin,2.50%,BTC-USD,Bitcoin,100.00%,2.50%
Gold Bullion,14.70%,XAU Curncy,Gold Bullion,100.00%,14.70%
Hang Seng China Enterprises TRI,7.00%,HSCEDV,Hang Seng China Enterprises TRI,100.00%,7.00%
Hang Seng Total Return Index,3.00%,HSIDV,Hang Seng Total Return Index,100.00%,3.00%
